image_name,x,y
00380_png,4364.001953125,753.162109375
00380_png,4138.416015625,813.220703125
00380_png,4125.232421875,795.642578125
00380_png,4384.509765625,826.404296875
00380_png,4356.677734375,637.439453125
00380_png,4239.490234375,756.091796875
00380_png,4261.462890625,427.966796875
00380_png,4330.310546875,725.330078125
00380_png,4057.849609375,603.748046875
00380_png,3171.619140625,88.123046875
00380_png,4279.041015625,802.966796875
00380_png,4255.603515625,822.009765625
00380_png,4119.373046875,841.052734375
00380_png,4299.548828125,811.755859375
00380_png,4227.771484375,51.501953125
00380_png,4279.041015625,824.939453125
00380_png,4153.064453125,816.150390625
00380_png,4274.646484375,429.431640625
00380_png,4372.791015625,826.404296875
00380_png,4135.486328125,845.447265625
00380_png,3548.083984375,187.732421875
00380_png,4314.197265625,876.208984375
00380_png,4084.216796875,870.349609375
00380_png,4303.943359375,827.869140625
00380_png,4081.287109375,701.892578125
00380_png,4188.220703125,72.009765625
00380_png,3556.873046875,378.162109375
00380_png,3802.966796875,599.353515625
00380_png,4060.779296875,413.318359375
00380_png,4145.740234375,605.212890625
00380_png,3798.572265625,763.416015625
00380_png,3543.689453125,977.283203125
00380_png,4349.353515625,819.080078125
00380_png,4166.248046875,278.552734375
00380_png,4308.337890625,217.029296875
00380_png,4030.017578125,704.822265625
00380_png,4141.345703125,934.802734375
00380_png,4202.869140625,61.755859375
00380_png,4255.603515625,769.275390625
00380_png,4365.466796875,846.912109375
00380_png,4377.185546875,628.650390625
00380_png,4415.271484375,826.404296875
00380_png,4361.072265625,877.673828125
00380_png,3438.220703125,17.810546875
00380_png,4202.869140625,704.822265625
00380_png,3685.779296875,514.392578125
00380_png,4245.349609375,468.982421875
00380_png,4100.330078125,66.150390625
00380_png,4195.544921875,750.232421875
00380_png,4336.169921875,814.685546875
00380_png,3994.861328125,530.505859375
00380_png,4112.048828125,763.416015625
00380_png,4364.001953125,1053.455078125
00380_png,4008.044921875,504.138671875
00380_png,3321.033203125,704.822265625
00380_png,4369.861328125,640.369140625
00380_png,3124.744140625,32.458984375
00380_png,4186.755859375,792.712890625
00380_png,4344.958984375,759.021484375
00380_png,3568.591796875,457.263671875
00380_png,3268.298828125,423.572265625
00380_png,4098.865234375,842.517578125
00380_png,4034.412109375,526.111328125
00380_png,4440.173828125,606.677734375
00380_png,4277.576171875,780.994140625
00380_png,4186.755859375,603.748046875
00380_png,3114.490234375,55.896484375
00380_png,4301.013671875,977.283203125
00380_png,3552.478515625,104.236328125
00380_png,4151.599609375,275.623046875
00380_png,4340.564453125,668.201171875
00380_png,4107.654296875,357.654296875
00380_png,3304.919921875,1002.185546875
00380_png,3665.271484375,801.501953125
00380_png,3624.255859375,252.185546875
00380_png,3987.537109375,86.658203125
00380_png,3457.263671875,196.521484375
00380_png,3896.716796875,388.416015625
00380_png,4132.556640625,545.154296875
00380_png,4210.193359375,679.919921875
00380_png,3170.154296875,57.361328125
00380_png,3530.505859375,23.669921875
00380_png,4134.021484375,256.580078125
00380_png,4322.986328125,778.064453125
00380_png,4097.400390625,760.486328125
00380_png,4037.341796875,32.458984375
00380_png,3663.806640625,534.900390625
00380_png,4163.318359375,744.373046875
00380_png,4396.228515625,407.458984375
00380_png,4151.599609375,792.712890625
00380_png,3761.951171875,61.755859375
00380_png,4229.236328125,745.837890625
00380_png,4106.189453125,801.501953125
00380_png,4233.630859375,536.365234375
00380_png,4208.728515625,616.931640625
00380_png,4343.494140625,804.431640625
00380_png,3647.77978515625,7214.587890625
00380_png,4036.01513671875,6931.873046875
00380_png,3597.96826171875,6178.943359375
00380_png,3562.807373046875,7117.908203125
00380_png,4277.746337890625,6404.529296875
00380_png,4097.546630859375,6830.798828125
00380_png,4106.3369140625,6839.587890625
00380_png,3534.9716796875,7188.220703125
00380_png,3688.80078125,6586.169921875
00380_png,4142.962890625,6592.029296875
00380_png,3575.99267578125,6149.646484375
00380_png,3719.566650390625,6668.201171875
00380_png,3278.58984375,7164.783203125
00380_png,3332.79638671875,6196.521484375
00380_png,3980.343505859375,6423.572265625
00380_png,3527.646484375,6196.521484375
00380_png,3449.99951171875,6945.056640625
00380_png,3498.345703125,7259.998046875
00380_png,3603.82861328125,6678.455078125
00380_png,3083.73974609375,6943.591796875
00380_png,4112.197021484375,6635.974609375
00380_png,3504.205810546875,6133.533203125
00380_png,3993.52880859375,6570.056640625
00380_png,3104.250244140625,6206.775390625
00380_png,3766.44775390625,6887.927734375
00380_png,3413.37353515625,6776.599609375
00380_png,3451.4644775390625,6785.388671875
00380_png,3180.4322509765625,6222.888671875
00380_png,3515.92626953125,7123.767578125
00380_png,3997.923828125,6912.830078125
00380_png,3325.47119140625,7088.611328125
00380_png,3792.818603515625,7030.017578125
00380_png,4097.546630859375,7188.220703125
00380_png,4018.4345703125,6789.783203125
00380_png,3457.32470703125,6531.970703125
00380_png,3362.09716796875,6548.083984375
